357.75,-28.05,146.17,-376.2,-132.0,-274.19,302.1,-15.9,151.73,-415.05,-104.25,-273.94,-354.9,-214.8,-245.39,307.95,6.75,197.23,-333.75,-135.45,-217.8,347.85,7.35,124.63,296.4,25.65,118.58,-299.85,-272.1,-246.36,288.9,21.45,249.99,-376.35,-114.0,-258.94,-328.5,-128.1,-246.84,340.05,-85.05,120.52,-337.65,-167.55,-177.63,350.25,-24.45,198.92
356.7,-28.5,147.38,-376.2,-133.95,-275.4,302.55,-16.05,151.49,-415.5,-104.55,-274.43,-354.6,-214.65,-243.69,307.35,7.05,196.5,-333.9,-134.55,-217.56,349.5,7.8,124.39,295.05,25.65,117.61,-299.7,-271.65,-246.6,288.0,21.45,249.26,-375.0,-113.25,-258.46,-329.4,-129.45,-248.05,339.45,-86.1,121.0,-338.4,-167.85,-175.21,349.65,-25.65,197.71
356.7,-29.25,144.47,-375.75,-132.6,-273.46,301.5,-15.6,149.8,-416.1,-104.25,-273.22,-354.75,-215.7,-244.42,307.65,7.2,196.26,-333.3,-135.6,-216.35,349.35,7.65,124.63,296.1,25.5,117.37,-299.4,-271.2,-245.87,289.05,21.0,249.5,-376.2,-113.25,-259.67,-328.35,-127.8,-247.81,339.6,-86.55,121.97,-338.55,-167.7,-177.39,349.05,-23.85,199.17
357.0,-29.55,146.41,-375.6,-133.35,-273.94,302.85,-16.8,151.01,-414.9,-104.55,-274.19,-356.1,-214.95,-242.48,308.55,7.65,197.47,-333.3,-135.6,-218.53,348.6,7.05,124.87,295.2,24.9,118.1,-300.9,-271.95,-245.63,287.85,20.4,247.57,-374.55,-113.25,-258.46,-327.75,-128.7,-246.36,338.85,-84.75,121.73,-337.65,-167.25,-177.63,348.6,-23.85,199.65
356.4,-29.1,147.62,-376.5,-133.8,-274.67,301.05,-16.5,150.77,-415.65,-104.55,-273.94,-356.1,-214.95,-243.45,307.5,6.45,196.99,-334.5,-136.2,-219.25,348.15,7.65,125.84,295.35,24.6,116.4,-300.0,-271.2,-247.08,288.15,21.3,249.5,-374.7,-112.95,-257.0,-329.4,-128.55,-247.32,339.6,-84.75,122.21,-337.8,-167.25,-177.63,349.5,-24.45,197.96
355.95,-29.4,144.23,-374.25,-132.9,-275.4,302.85,-16.35,151.25,-416.1,-104.55,-275.15,-355.65,-215.1,-244.9,307.8,7.05,197.47,-333.3,-135.6,-218.04,348.3,8.4,125.84,295.35,25.2,118.1,-300.45,-271.95,-247.81,289.5,20.7,248.53,-374.55,-112.95,-259.67,-328.5,-128.85,-247.32,338.85,-85.5,122.94,-338.55,-166.65,-176.9,348.9,-24.75,198.68
358.2,-28.2,146.89,-375.0,-132.6,-271.77,301.5,-16.05,151.01,-415.35,-104.7,-273.94,-354.6,-214.65,-242.73,308.1,6.45,197.23,-333.45,-135.45,-217.32,348.6,7.35,125.84,296.4,25.2,117.37,-300.0,-271.8,-247.08,289.8,20.7,250.23,-374.4,-112.5,-260.15,-329.4,-130.2,-246.11,339.6,-85.65,123.42,-339.0,-168.45,-177.87,350.55,-25.05,198.2
357.6,-27.75,144.72,-377.4,-132.0,-274.67,303.3,-16.05,151.98,-416.1,-103.5,-275.4,-355.65,-215.4,-242.24,307.5,7.5,196.02,-333.3,-135.3,-219.01,348.9,7.05,126.08,296.1,26.4,118.1,-300.9,-272.4,-248.29,287.7,20.1,248.78,-375.6,-113.7,-258.46,-328.05,-128.7,-247.32,338.85,-85.8,121.97,-338.25,-167.25,-175.69,349.05,-23.55,198.92
356.55,-28.8,147.14,-375.9,-133.2,-272.98,301.8,-16.2,151.01,-415.2,-105.45,-274.19,-354.3,-215.4,-243.45,307.95,7.35,196.5,-334.5,-135.3,-218.53,348.0,7.5,125.11,296.1,25.65,118.34,-300.45,-273.45,-245.87,288.3,21.6,249.99,-375.75,-114.15,-259.67,-328.8,-129.9,-246.84,337.95,-85.8,122.45,-337.8,-167.85,-176.42,348.45,-24.0,198.92
356.55,-28.65,145.93,-376.05,-133.05,-274.43,301.95,-16.65,149.8,-414.75,-104.7,-274.19,-355.8,-215.55,-243.94,308.4,7.35,196.99,-334.2,-135.6,-217.8,349.35,6.45,125.6,295.65,25.8,115.92,-300.15,-271.35,-246.84,287.55,21.15,248.29,-375.0,-113.7,-258.46,-328.2,-128.7,-248.29,339.45,-84.9,121.73,-339.15,-167.4,-177.39,349.95,-24.75,198.2
